inspection_score,inspection_type,violation_id,violation_description,risk_category
94,Routine - Unscheduled,19_20171211_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
98,Routine - Unscheduled,86074_20170105_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,67448_20180507_103118,Employee eating or smoking,Moderate Risk
76,Routine - Unscheduled,76437_20160329_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
70,Routine - Unscheduled,79272_20160929_103132,Improper thawing methods,Moderate Risk
79,Routine - Unscheduled,58850_20160906_103131,Moderate risk vermin infestation,Moderate Risk
88,Routine - Unscheduled,7496_20160518_103133,Foods not protected from contamination,Moderate Risk
85,Routine - Unscheduled,90862_20180723_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
92,Routine - Unscheduled,87624_20161206_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
68,Routine - Unscheduled,69762_20160413_103103,High risk food holding temperature,High Risk
94,Routine - Unscheduled,72153_20160809_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,66536_20160413_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
83,Routine - Unscheduled,81987_20160627_103110,Unapproved food source,High Risk
90,Routine - Unscheduled,28169_20161206_103143,Inadequate warewashing facilities or equipment,Low Risk
90,Routine - Unscheduled,5999_20180724_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,66990_20160601_103120,Moderate risk food holding temperature,Moderate Risk
92,Routine - Unscheduled,65833_20171208_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,67448_20180507_103139,Improper food storage,Low Risk
76,Routine - Unscheduled,73840_20170105_103114,High risk vermin infestation,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,18940_20160930_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,4794_20170105_103157,Food safety certificate or food handler card not available,Low Risk
81,Routine - Unscheduled,999_20160503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94,Routine - Unscheduled,69288_20160531_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86,Routine - Unscheduled,2638_20180830_103144,Unapproved or unmaintained equipment or utensils,Low Risk
73,Routine - Unscheduled,77564_20160503_103103,High risk food holding temperature,High Risk
96,Routine - Unscheduled,7603_20180223_103154,Unclean or degraded floors walls or ceilings,Low Risk
82,Routine - Unscheduled,82655_20180514_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,5144_20180718_103139,Improper food storage,Low Risk
84,Routine - Unscheduled,88340_20160811_103132,Improper thawing methods,Moderate Risk
96,Routine - Unscheduled,82926_20161003_103159,Worker safety hazards,Low Risk
86,Routine - Unscheduled,60518_20160511_103133,Foods not protected from contamination,Moderate Risk
84,Routine - Unscheduled,17947_20160510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
88,Routine - Unscheduled,3076_20160815_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,60518_20160511_103161,Low risk vermin infestation,Low Risk
83,Routine - Unscheduled,4787_20160628_103109,Unclean or unsanitary food contact surfaces,High Risk
83,Routine - Unscheduled,4787_20160628_103157,Food safety certificate or food handler card not available,Low Risk
84,Routine - Unscheduled,88340_20180511_103120,Moderate risk food holding temperature,Moderate Risk
74,Routine - Unscheduled,39528_20170105_103114,High risk vermin infestation,High Risk
88,Routine - Unscheduled,3659_20160603_103154,Unclean or degraded floors walls or ceilings,Low Risk
96,Routine - Unscheduled,79193_20180516_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,3228_20160330_103144,Unapproved or unmaintained equipment or utensils,Low Risk
85,Routine - Unscheduled,9273_20161018_103131,Moderate risk vermin infestation,Moderate Risk
86,Routine - Unscheduled,74149_20161207_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
98,Routine - Unscheduled,80027_20160603_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,1280_20180327_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94,Routine - Unscheduled,7488_20180209_103144,Unapproved or unmaintained equipment or utensils,Low Risk
94,Routine - Unscheduled,37507_20160518_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,7095_20171211_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,81579_20160902_103131,Moderate risk vermin infestation,Moderate Risk
86,Routine - Unscheduled,34865_20170104_103144,Unapproved or unmaintained equipment or utensils,Low Risk
86,Routine - Unscheduled,87765_20180905_103120,Moderate risk food holding temperature,Moderate Risk
87,Routine - Unscheduled,65425_20160126_103142,Unclean nonfood contact surfaces,Low Risk
85,Routine - Unscheduled,140_20160414_103103,High risk food holding temperature,High Risk
87,Routine - Unscheduled,60473_20180515_103138,Improper storage use or identification of toxic substances,Low Risk
88,Routine - Unscheduled,68159_20180725_103147,Inadequate ventilation or lighting,Low Risk
70,Routine - Unscheduled,69762_20180917_103142,Unclean nonfood contact surfaces,Low Risk
77,Routine - Unscheduled,59153_20161020_103154,Unclean or degraded floors walls or ceilings,Low Risk
89,Routine - Unscheduled,1452_20171205_103132,Improper thawing methods,Moderate Risk
94,Routine - Unscheduled,68261_20160518_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,33641_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk
79,Routine - Unscheduled,10625_20170927_103162,Other low risk violation,Low Risk
87,Routine - Unscheduled,34665_20160929_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
76,Routine - Unscheduled,73840_20170105_103154,Unclean or degraded floors walls or ceilings,Low Risk
77,Routine - Unscheduled,59153_20161020_103156,Permit license or inspection report not posted,Low Risk
96,Routine - Unscheduled,81468_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk
78,Routine - Unscheduled,2716_20180917_103145,Improper storage of equipment utensils or linens,Low Risk
92,Routine - Unscheduled,5905_20160325_103147,Inadequate ventilation or lighting,Low Risk
84,Routine - Unscheduled,17947_20160510_103145,Improper storage of equipment utensils or linens,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,5913_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86,Routine - Unscheduled,1754_20161202_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94,Routine - Unscheduled,33641_20160607_103139,Improper food storage,Low Risk
72,Routine - Unscheduled,286_20160607_103142,Unclean nonfood contact surfaces,Low Risk
79,Routine - Unscheduled,80631_20171212_103109,Unclean or unsanitary food contact surfaces,High Risk
73,Routine - Unscheduled,77564_20160503_103142,Unclean nonfood contact surfaces,Low Risk
84,Routine - Unscheduled,4672_20161206_103102,Unclean hands or improper use of gloves,High Risk
72,Routine - Unscheduled,37633_20160519_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
68,Routine - Unscheduled,77031_20160930_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
85,Routine - Unscheduled,85936_20180516_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
80,Routine - Unscheduled,3750_20180829_103142,Unclean nonfood contact surfaces,Low Risk
72,Routine - Unscheduled,37633_20160519_103120,Moderate risk food holding temperature,Moderate Risk
76,Routine - Unscheduled,76437_20160329_103109,Unclean or unsanitary food contact surfaces,High Risk
91,Routine - Unscheduled,69147_20161205_103139,Improper food storage,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,18079_20160502_103142,Unclean nonfood contact surfaces,Low Risk
77,Routine - Unscheduled,85714_20161205_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,65649_20161206_103157,Food safety certificate or food handler card not available,Low Risk
83,Routine - Unscheduled,81987_20160627_103165,No plan review or Building Permit,Low Risk
88,Routine - Unscheduled,74829_20160923_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,62784_20180419_103154,Unclean or degraded floors walls or ceilings,Low Risk
78,Routine - Unscheduled,4917_20160906_103156,Permit license or inspection report not posted,Low Risk
86,Routine - Unscheduled,65580_20160511_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
64,Routine - Unscheduled,83476_20160428_103133,Foods not protected from contamination,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,28169_20161206_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
57,Routine - Unscheduled,1843_20160216_103105,Improper cooling methods,High Risk
94,Routine - Unscheduled,87099_20161110_103162,Other low risk violation,Low Risk
96,Routine - Unscheduled,30478_20180509_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,3825_20180724_103132,Improper thawing methods,Moderate Risk
79,Routine - Unscheduled,1144_20160929_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,2418_20160113_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,77484_20160329_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,2369_20160324_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85,Routine - Unscheduled,39053_20160812_103109,Unclean or unsanitary food contact surfaces,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
81,Routine - Unscheduled,999_20160503_103139,Improper food storage,Low Risk
79,Routine - Unscheduled,89993_20180911_103131,Moderate risk vermin infestation,Moderate Risk
85,Routine - Unscheduled,1036_20180515_103150,Improper or defective plumbing,Low Risk
86,Routine - Unscheduled,64380_20160414_103127,Noncompliance with HAACP plan or variance,Moderate Risk
84,Routine - Unscheduled,88340_20160811_103120,Moderate risk food holding temperature,Moderate Risk
88,Routine - Unscheduled,69792_20160412_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,85480_20160629_103138,Improper storage use or identification of toxic substances,Low Risk
79,Routine - Unscheduled,89993_20180911_103139,Improper food storage,Low Risk
74,Routine - Unscheduled,39528_20170105_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
64,Routine - Unscheduled,83476_20160428_103144,Unapproved or unmaintained equipment or utensils,Low Risk
86,Routine - Unscheduled,66255_20161206_103142,Unclean nonfood contact surfaces,Low Risk
87,Routine - Unscheduled,62277_20180221_103103,High risk food holding temperature,High Risk
87,Routine - Unscheduled,58628_20160413_103131,Moderate risk vermin infestation,Moderate Risk
78,Routine - Unscheduled,80081_20170104_103150,Improper or defective plumbing,Low Risk
94,Routine - Unscheduled,4542_20160603_103157,Food safety certificate or food handler card not available,Low Risk
85,Routine - Unscheduled,66717_20180222_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,81680_20160331_103120,Moderate risk food holding temperature,Moderate Risk
67,Routine - Unscheduled,29610_20160217_103103,High risk food holding temperature,High Risk
72,Routine - Unscheduled,286_20160607_103147,Inadequate ventilation or lighting,Low Risk
86,Routine - Unscheduled,62597_20171213_103133,Foods not protected from contamination,Moderate Risk
85,Routine - Unscheduled,3189_20160510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
68,Routine - Unscheduled,69762_20160413_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,81758_20160404_103120,Moderate risk food holding temperature,Moderate Risk
72,Routine - Unscheduled,286_20160607_103133,Foods not protected from contamination,Moderate Risk
96,Routine - Unscheduled,66328_20160930_103160,Inadequate HACCP plan record keeping,Low Risk
94,Routine - Unscheduled,36473_20160412_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,33700_20160412_103141,Improper food labeling or menu misrepresentation,Low Risk
87,Routine - Unscheduled,88113_20180912_103109,Unclean or unsanitary food contact surfaces,High Risk
73,Routine - Unscheduled,7394_20180913_103132,Improper thawing methods,Moderate Risk
68,Routine - Unscheduled,69762_20160413_103131,Moderate risk vermin infestation,Moderate Risk
85,Routine - Unscheduled,81509_20161205_103109,Unclean or unsanitary food contact surfaces,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,5960_20160506_103142,Unclean nonfood contact surfaces,Low Risk
85,Routine - Unscheduled,39053_20160812_103156,Permit license or inspection report not posted,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
79,Routine - Unscheduled,80631_20171212_103133,Foods not protected from contamination,Moderate Risk
94,Routine - Unscheduled,217_20160329_103144,Unapproved or unmaintained equipment or utensils,Low Risk
94,Routine - Unscheduled,83472_20160322_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
70,Routine - Unscheduled,69762_20180917_103145,Improper storage of equipment utensils or linens,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,82105_20160812_103136,Unsanitary employee garments hair or nails,Low Risk
92,Routine - Unscheduled,85480_20160629_103143,Inadequate warewashing facilities or equipment,Low Risk
94,Routine - Unscheduled,37507_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,337_20160520_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,33315_20160518_103131,Moderate risk vermin infestation,Moderate Risk
96,Routine - Unscheduled,65531_20180226_103154,Unclean or degraded floors walls or ceilings,Low Risk
75,Routine - Unscheduled,62064_20160411_103114,High risk vermin infestation,High Risk
74,Routine - Unscheduled,39528_20170105_103109,Unclean or unsanitary food contact surfaces,High Risk
85,Routine - Unscheduled,1896_20180223_103109,Unclean or unsanitary food contact surfaces,High Risk
80,Routine - Unscheduled,3750_20180829_103150,Improper or defective plumbing,Low Risk
92,Routine - Unscheduled,82466_20161206_103138,Improper storage use or identification of toxic substances,Low Risk
92,Routine - Unscheduled,37482_20180222_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,69288_20160531_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,67920_20171213_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,38179_20160517_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
84,Routine - Unscheduled,62548_20171211_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,60518_20160511_103142,Unclean nonfood contact surfaces,Low Risk
91,Routine - Unscheduled,86423_20160628_103156,Permit license or inspection report not posted,Low Risk
84,Routine - Unscheduled,86180_20161205_103142,Unclean nonfood contact surfaces,Low Risk
94,Routine - Unscheduled,87337_20160812_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,774_20161205_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,61856_20160413_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94,Routine - Unscheduled,36473_20160412_103143,Inadequate warewashing facilities or equipment,Low Risk
83,Routine - Unscheduled,9164_20160812_103109,Unclean or unsanitary food contact surfaces,High Risk
74,Routine - Unscheduled,68865_20160628_103133,Foods not protected from contamination,Moderate Risk
77,Routine - Unscheduled,59153_20161020_103142,Unclean nonfood contact surfaces,Low Risk
72,Routine - Unscheduled,3838_20180222_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
88,Routine - Unscheduled,64076_20161205_103144,Unapproved or unmaintained equipment or utensils,Low Risk
71,Routine - Unscheduled,4960_20160413_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,3429_20161202_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
87,Routine - Unscheduled,65425_20160126_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,69792_20160412_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,80079_20160812_103139,Improper food storage,Low Risk
89,Routine - Unscheduled,70137_20160511_103109,Unclean or unsanitary food contact surfaces,High Risk
72,Routine - Unscheduled,59577_20160502_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
91,Routine - Unscheduled,96864_20180829_103170,Mobile food facility not operating with an approved commissary,High Risk
77,Routine - Unscheduled,68454_20160223_103144,Unapproved or unmaintained equipment or utensils,Low Risk
87,Routine - Unscheduled,1977_20160328_103145,Improper storage of equipment utensils or linens,Low Risk
88,Routine - Unscheduled,7496_20160518_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
96,Routine - Unscheduled,78313_20160324_103148,No thermometers or uncalibrated thermometers,Low Risk
90,Routine - Unscheduled,79563_20180718_103139,Improper food storage,Low Risk
87,Routine - Unscheduled,65425_20160126_103114,High risk vermin infestation,High Risk
72,Routine - Unscheduled,286_20160607_103161,Low risk vermin infestation,Low Risk
85,Routine - Unscheduled,2755_20161205_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,32862_20160628_103120,Moderate risk food holding temperature,Moderate Risk
88,Routine - Unscheduled,60355_20180222_103142,Unclean nonfood contact surfaces,Low Risk
96,Routine - Unscheduled,3476_20180226_103161,Low risk vermin infestation,Low Risk
72,Routine - Unscheduled,59577_20160502_103157,Food safety certificate or food handler card not available,Low Risk
77,Routine - Unscheduled,68831_20160325_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,5653_20170928_103145,Improper storage of equipment utensils or linens,Low Risk
86,Routine - Unscheduled,62710_20160511_103120,Moderate risk food holding temperature,Moderate Risk
71,Routine - Unscheduled,4960_20160413_103144,Unapproved or unmaintained equipment or utensils,Low Risk
77,Routine - Unscheduled,1631_20160906_103131,Moderate risk vermin infestation,Moderate Risk
79,Routine - Unscheduled,89993_20180911_103120,Moderate risk food holding temperature,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
79,Routine - Unscheduled,10625_20170927_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
81,Routine - Unscheduled,1350_20180516_103145,Improper storage of equipment utensils or linens,Low Risk
88,Routine - Unscheduled,40217_20160502_103150,Improper or defective plumbing,Low Risk
87,Routine - Unscheduled,83572_20180515_103133,Foods not protected from contamination,Moderate Risk
94,Routine - Unscheduled,65672_20180226_103161,Low risk vermin infestation,Low Risk
93,Routine - Unscheduled,94973_20180911_103103,High risk food holding temperature,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
74,Routine - Unscheduled,3571_20171213_103150,Improper or defective plumbing,Low Risk
90,Routine - Unscheduled,81919_20180511_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
87,Routine - Unscheduled,2134_20161109_103142,Unclean nonfood contact surfaces,Low Risk
90,Routine - Unscheduled,71430_20180827_103139,Improper food storage,Low Risk
94,Routine - Unscheduled,60898_20160510_103120,Moderate risk food holding temperature,Moderate Risk
89,Routine - Unscheduled,37038_20180222_103139,Improper food storage,Low Risk
94,Routine - Unscheduled,84205_20180227_103141,Improper food labeling or menu misrepresentation,Low Risk
96,Routine - Unscheduled,795_20160607_103142,Unclean nonfood contact surfaces,Low Risk
86,Routine - Unscheduled,65580_20160511_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,68768_20160607_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85,Routine - Unscheduled,32170_20160120_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,92592_20180917_103150,Improper or defective plumbing,Low Risk
94,Routine - Unscheduled,18825_20161205_103120,Moderate risk food holding temperature,Moderate Risk
57,Routine - Unscheduled,76615_20160504_103102,Unclean hands or improper use of gloves,High Risk
92,Routine - Unscheduled,5905_20160325_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,79829_20161207_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
84,Routine - Unscheduled,4864_20161206_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,69353_20160907_103157,Food safety certificate or food handler card not available,Low Risk
63,Routine - Unscheduled,2110_20160906_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
83,Routine - Unscheduled,67985_20160628_103105,Improper cooling methods,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,886_20151120_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
96,Routine - Unscheduled,19082_20160607_103131,Moderate risk vermin infestation,Moderate Risk
64,Routine - Unscheduled,83476_20160428_103103,High risk food holding temperature,High Risk
91,Routine - Unscheduled,5951_20160413_103157,Food safety certificate or food handler card not available,Low Risk
77,Routine - Unscheduled,68454_20160223_103145,Improper storage of equipment utensils or linens,Low Risk
84,Routine - Unscheduled,1005_20160502_103133,Foods not protected from contamination,Moderate Risk
86,Routine - Unscheduled,60518_20160511_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,3429_20160516_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,80442_20180913_103154,Unclean or degraded floors walls or ceilings,Low Risk
57,Routine - Unscheduled,76615_20160504_103109,Unclean or unsanitary food contact surfaces,High Risk
92,Routine - Unscheduled,3522_20160412_103131,Moderate risk vermin infestation,Moderate Risk
81,Routine - Unscheduled,75523_20160511_103109,Unclean or unsanitary food contact surfaces,High Risk
72,Routine - Unscheduled,37633_20160519_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,66990_20160601_103132,Improper thawing methods,Moderate Risk
76,Routine - Unscheduled,69282_20160413_103103,High risk food holding temperature,High Risk
75,Routine - Unscheduled,36745_20180514_103114,High risk vermin infestation,High Risk
94,Routine - Unscheduled,81383_20171211_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
81,Routine - Unscheduled,999_20160503_103109,Unclean or unsanitary food contact surfaces,High Risk
82,Routine - Unscheduled,99_20171207_103155,Unapproved  living quarters in food facility,Low Risk
90,Routine - Unscheduled,20116_20160511_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
85,Routine - Unscheduled,9273_20161018_103105,Improper cooling methods,High Risk
81,Routine - Unscheduled,2544_20161205_103103,High risk food holding temperature,High Risk
90,Routine - Unscheduled,82656_20180720_103131,Moderate risk vermin infestation,Moderate Risk
92,Routine - Unscheduled,80079_20160812_103129,Insufficient hot water or running water,Moderate Risk
75,Routine - Unscheduled,76992_20160928_103150,Improper or defective plumbing,Low Risk
85,Routine - Unscheduled,85936_20180516_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
98,Routine - Unscheduled,7477_20160518_103145,Improper storage of equipment utensils or linens,Low Risk
84,Routine - Unscheduled,1641_20160812_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,1970_20161207_103131,Moderate risk vermin infestation,Moderate Risk
92,Routine - Unscheduled,6800_20160519_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,1269_20180904_103154,Unclean or degraded floors walls or ceilings,Low Risk
76,Routine - Unscheduled,69282_20160413_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
83,Routine - Unscheduled,3211_20160815_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
89,Routine - Unscheduled,74800_20161202_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
73,Routine - Unscheduled,81309_20160219_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
86,Routine - Unscheduled,1922_20160225_103161,Low risk vermin infestation,Low Risk
70,Routine - Unscheduled,79272_20160929_103102,Unclean hands or improper use of gloves,High Risk
76,Routine - Unscheduled,85952_20161018_103103,High risk food holding temperature,High Risk
77,Routine - Unscheduled,1146_20180223_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
73,Routine - Unscheduled,7394_20180913_103131,Moderate risk vermin infestation,Moderate Risk
79,Routine - Unscheduled,91911_20180514_103102,Unclean hands or improper use of gloves,High Risk
71,Routine - Unscheduled,58673_20160412_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
71,Routine - Unscheduled,6643_20180509_103157,Food safety certificate or food handler card not available,Low Risk
64,Routine - Unscheduled,83476_20160428_103102,Unclean hands or improper use of gloves,High Risk
92,Routine - Unscheduled,95219_20180911_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,91874_20180510_103139,Improper food storage,Low Risk
80,Routine - Unscheduled,68716_20180226_103129,Insufficient hot water or running water,Moderate Risk
83,Routine - Unscheduled,3529_20171213_103103,High risk food holding temperature,High Risk
82,Routine - Unscheduled,3649_20171206_103102,Unclean hands or improper use of gloves,High Risk
75,Routine - Unscheduled,62064_20160411_103154,Unclean or degraded floors walls or ceilings,Low Risk
80,Routine - Unscheduled,589_20160503_103131,Moderate risk vermin infestation,Moderate Risk
87,Routine - Unscheduled,79406_20160412_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,95_20180509_103161,Low risk vermin infestation,Low Risk
92,Routine - Unscheduled,83704_20161104_103157,Food safety certificate or food handler card not available,Low Risk
88,Routine - Unscheduled,76526_20180227_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,3920_20160516_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,24431_20180625_103156,Permit license or inspection report not posted,Low Risk
82,Routine - Unscheduled,74922_20160430_103143,Inadequate warewashing facilities or equipment,Low Risk
88,Routine - Unscheduled,14568_20160502_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,61512_20160628_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
77,Routine - Unscheduled,68454_20160223_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
72,Routine - Unscheduled,71416_20171213_103156,Permit license or inspection report not posted,Low Risk
85,Routine - Unscheduled,81509_20161205_103129,Insufficient hot water or running water,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,19277_20160930_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,68784_20160510_103139,Improper food storage,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
96,Routine - Unscheduled,81637_20170925_103129,Insufficient hot water or running water,Moderate Risk
89,Routine - Unscheduled,302_20160902_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94,Routine - Unscheduled,18940_20160930_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,64513_20160518_103157,Food safety certificate or food handler card not available,Low Risk
94,Routine - Unscheduled,88128_20170104_103120,Moderate risk food holding temperature,Moderate Risk
69,Routine - Unscheduled,69618_20171213_103138,Improper storage use or identification of toxic substances,Low Risk
72,Routine - Unscheduled,59577_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94,Routine - Unscheduled,68261_20160518_103145,Improper storage of equipment utensils or linens,Low Risk
89,Routine - Unscheduled,82394_20160618_103144,Unapproved or unmaintained equipment or utensils,Low Risk
77,Routine - Unscheduled,1631_20160906_103142,Unclean nonfood contact surfaces,Low Risk
71,Routine - Unscheduled,58673_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
